,0,1
736,COLB,0.024904299944519002
737,COLD,0.022640268272170003
738,COLL,0.0
739,COLM,0.002514749883579
740,COMM,0.0
741,CONE,0.029298686352057002
742,CONN,0.0
743,COO,0.000154430153127
744,COOP,0.0
745,COP,0.034576227412097
746,COR,0.039649156385852
747,CORE,0.019545517941075
748,CORR,0.024712562911709
749,CORT,0.0
750,COST,0.0077185056846640005
751,COTY,0.0
752,COUP,0.0
753,COWN,0.005498317591382001
754,CPB,0.030320919753022
755,CPE,0.0
756,CPF,0.041618687231237
757,CPHC,0.0
758,CPIX,0.0
759,CPK,0.016707488150825
760,CPLG,0.024330900605867
761,CPRI,0.0
762,CPRT,0.0
763,CPRX,0.0
764,CPS,0.0
765,CPSH,0.0
766,CPSI,0.006733981069933
767,CPSS,0.0
768,CPST,0.0
769,CPT,0.031160831177222
770,CR,0.020099961710070002
771,CRAI,0.016608435085381002
772,CRAY,
773,CRBP,0.0
774,CRC,0.0
775,CRCM,
776,CREE,0.0
777,CRI,0.006483682989430001
778,CRIS,0.0
779,CRK,0.0
780,CRL,0.0
781,CRM,0.0
782,CRMD,0.0
783,CRMT,0.0
784,CRNX,0.0
785,CROX,0.0
786,CRR,
787,CRS,0.020604073700123002
788,CRTX,0.0
789,CRUS,0.0
790,CRVL,0.0
791,CRVS,0.0
792,CRWS,0.031225891029425003
793,CRY,0.0
794,CRZO,
795,CSCO,0.031130017532750003
796,CSFL,
797,CSGP,0.0
798,CSGS,0.020273798064443002
799,CSII,0.0
800,CSL,0.013720360886329
801,CSLT,0.0
802,CSOD,0.0
803,CSPI,0.016322089876002
804,CSS,
805,CSTR,0.00936512407103
806,CSU,0.0
807,CSV,0.010472401838861
808,CSWI,0.004102533147739
809,CSX,0.011240297572864
810,CTAS,0.010346621250279001
811,CTB,0.009553018847201
812,CTBI,0.03819947332027
813,CTG,0.0
814,CTHR,0.0
815,CTIB,0.0
816,CTIC,0.0
817,CTL,
818,CTLT,0.0
819,CTMX,0.0
820,CTO,0.013106398489980001
821,CTRA,0.0
822,CTRC,
823,CTRE,0.044384754162001
824,CTRN,0.001068233385122
825,CTS,0.004966461930617
826,CTSH,0.012166567719417001
827,CTSO,0.0
828,CTT,0.048425737740983
829,CTVA,0.011361737119424
830,CTWS,
831,CTXS,0.010488756109264
832,CUB,0.003884994500794
833,CUBE,0.035933045021057
834,CUBI,0.0
835,CUE,0.0
836,CUI,
837,CULP,0.024555058661485003
838,CUO,
839,CUR,
840,CURO,0.014167985526738001
841,CUTR,0.0
842,CUZ,0.035716609609523005
843,CVA,0.033747638170064
844,CVBF,0.033563481451642
845,CVCO,0.0
846,CVCY,0.025889452895142002
847,CVET,0.0
848,CVGI,0.0
849,CVGW,0.015276301489879001
850,CVI,0.051678473092592006
851,CVIA,
852,CVLT,0.0
853,CVLY,0.029131084281568003
854,CVM,0.0
855,CVNA,0.0
856,CVR,0.019541928519448002
857,CVRS,
858,CVS,0.028086612607821002
859,CVTI,
860,CVU,0.0
861,CVV,0.0
862,CVX,0.053283091656381
863,CW,0.004337679985299
864,CWBC,0.020393994508297
865,CWBR,0.0
866,CWEN,0.032677635073649
867,CWH,0.012781802943353002
868,CWST,0.0
869,CWT,0.014747205717070002
870,CXO,0.01212016019638
871,CXP,0.059503808850881
872,CXW,0.061196105370766
873,CY,
874,CYAN,0.0
875,CYBE,0.0
876,CYCC,0.0
877,CYCN,0.0
878,CYH,0.0
879,CYRX,0.0
880,CYTK,0.0
881,CYTR,0.0
882,CZNC,0.050998909288202006
883,CZR,0.0
884,CZWI,0.020087336608936003
885,D,0.047727708950531
886,DAIO,0.0
887,DAKT,0.009380863179185
888,DAL,0.0
889,DAN,0.004488330407994
890,DAR,0.0
891,DARE,0.0
892,DAVE,
893,DBD,0.0
894,DBI,0.008156606973092001
895,DBX,0.0
896,DCI,0.01368549525594
897,DCO,0.0
898,DCOM,0.033775834205304
899,DCPH,0.0
900,DD,0.017062772184291003
901,DDD,0.0
902,DDS,0.007621774719947001
903,DE,0.009164930690916001
904,DEA,0.047032990734824004
905,DECK,0.0
906,DEI,0.039135017324322
907,DELL,0.0
908,DENN,0.0
909,DERM,
910,DEST,
911,DF,
912,DFIN,0.0
913,DFRG,
914,DFS,0.013918246547497001
915,DG,0.007143209237347001
916,DGICA,0.042185761973246
917,DGII,0.0
918,DGLY,0.0
919,DGX,0.018718913136051
920,DHI,0.009450215085602
921,DHIL,0.08350730688935201
922,DHR,0.0031095519782870003
923,DHX,0.0
924,DIN,0.009353846036470001
925,DIOD,0.0
926,DIS,0.0
927,DISCA,0.0
928,DISCK,0.0
929,DISH,0.0
930,DIT,0.004812516530926
931,DJCO,0.0
932,DK,0.038086575253422
933,DKS,0.016597286387799
934,DLA,0.0
935,DLB,0.009347730404209
936,DLHC,0.0
937,DLPH,
938,DLR,0.032428105569632
939,DLTH,0.0
940,DLTR,0.0
941,DLX,0.030006176820395
942,DMRC,0.0
943,DNBF,
944,DNKN,0.0
945,DNLI,0.0
946,DNOW,0.0
947,DNR,
948,DO,
949,DOC,0.051827180685642
950,DOCU,0.0
951,DOMO,0.0
952,DOOR,0.0
953,DORM,0.0
954,DOV,0.016010939540971002
955,DOVA,
956,DOW,0.045388579874313
957,DPLO,
958,DPZ,0.008373927516565
959,DRAD,0.0
960,DRE,0.023695465626267002
961,DRH,0.0
962,DRI,0.004992775544088
963,DRNA,0.0
964,DRQ,0.0
965,DRRX,0.0
966,DS,0.0
967,DSKE,0.0
968,DSPG,0.0
969,DSS,0.0
970,DTE,0.033856216512610005
971,DUK,0.042757509060388006
972,DVA,0.0
973,DVAX,0.0
974,DVD,0.029535865104651
975,DVN,0.019707667421083
976,DWSN,0.0
977,DX,0.08213606520780001
978,DXC,0.008136380993548001
979,DXCM,0.0
980,DXLG,0.0
981,DXPE,0.0
982,DXYN,0.0
983,DY,0.0
984,DYAI,0.0
985,DZSI,0.0
986,EA,0.001164782471998
987,EAF,0.009198733346176
988,EARN,0.08820918425743801
989,EAT,0.005305039721228
990,EB,0.0
991,EBAY,0.010277320175771001
992,EBF,0.044925042233200006
993,EBIX,0.005888600235341
994,EBMT,0.01836349374876
995,EBS,0.0
996,EBSB,0.018879493566944003
997,EBTC,0.018398549844061002
998,ECHO,0.0
999,ECL,0.009052759620953001
1000,ECOL,0.0
1001,ECOM,0.0
1002,ECPG,0.0
1003,ED,0.044706033633821
1004,EDIT,0.0
1005,EDUC,0.016763232355621
1006,EE,
1007,EEFT,0.0
1008,EEI,
1009,EEX,0.0
1010,EFC,0.073013874704764
1011,EFOI,0.0
1012,EFSC,0.017624031844506
1013,EFX,0.010994731110087001
1014,EGAN,0.0
1015,EGBN,0.018252771281017002
1016,EGHT,0.0
1017,EGLE,0.0
1018,EGOV,0.010184461477624
1019,EGP,0.021732310260317002
1020,EGRX,0.0
1021,EGY,0.0
1022,EHC,0.010351268126981
1023,EHTH,0.0
1024,EIDX,0.0
1025,EIG,0.030142304627157
1026,EIGI,0.0
1027,EIGR,0.0
1028,EIX,0.045852016499887
1029,EKSO,0.0
1030,EL,0.005214183266351
1031,ELAN,0.0
1032,ELF,0.0
1033,ELGX,
1034,ELMD,0.0
1035,ELOX,0.0
1036,ELS,0.021845401821416
1037,ELSE,0.0
1038,ELVT,0.0
1039,ELY,0.00035587187816600005
1040,EMAN,0.0
1041,EMCF,0.044094456883649005
1042,EMCI,
1043,EME,0.004003971241632
1044,EMKR,0.0
1045,EML,0.016851493123878
